,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2023,AK,"490,072","2,050,667","296,192",23.9,"543,148","2,602,872","56,796",20.87,"256,386","1,371,059","1,161",18.7,0,0,0,0,"1,289,606","6,024,598","354,149",21.41
2023,AL,"4,593,824","31,409,652","2,353,274",14.63,"2,923,959","22,213,494","384,122",13.16,"2,220,821","31,257,213","7,239",7.11,0,0,0,0,"9,738,604","84,880,359","2,744,635",11.47
2023,AR,"2,251,157","18,373,971","1,459,802",12.25,"1,208,919","11,694,057","205,526",10.34,"1,275,851","18,581,004","36,612",6.87,40,268,2,14.93,"4,735,966","48,649,300","1,701,942",9.73
2023,AZ,"5,466,059","38,992,365","3,068,552",14.02,"3,844,785","32,619,680","344,059",11.79,"1,159,128","14,296,687","7,614",8.11,"1,008","10,066",2,10.01,"10,470,980","85,918,798","3,420,227",12.19
2023,CA,"24,439,806","82,820,898","14,063,972",29.51,"27,006,847","112,935,566","1,766,915",23.91,"8,014,384","42,998,557","148,000",18.64,"94,387","725,431",12,13.01,"59,555,424","239,480,452","15,978,899",24.87
2023,CO,"2,859,285","19,999,333","2,517,452",14.3,"2,409,252","20,697,728","397,348",11.64,"1,256,100","14,778,848","15,358",8.5,"11,894","89,910",2,13.23,"6,536,530","55,565,819","2,930,160",11.76
2023,CT,"3,751,250","12,553,299","1,541,895",29.88,"2,273,489","11,373,591","156,310",19.99,"404,764","2,579,387","3,936",15.69,"38,545","178,899",3,21.55,"6,468,047","26,685,176","1,702,144",24.24
2023,DC,"390,035","2,371,637","312,982",16.45,"1,191,005","7,030,204","27,387",16.94,"19,154","176,489",1,10.85,"29,943","301,384",3,9.94,"1,630,137","9,879,714","340,373",16.5
2023,DE,"775,833","4,931,847","468,358",15.73,"490,681","4,148,502","59,839",11.83,"157,018","2,001,322",876,7.85,0,0,0,0,"1,423,532","11,081,671","529,073",12.85
2023,FL,"20,651,963","135,805,022","10,222,476",15.21,"11,620,543","97,255,443","1,292,988",11.95,"1,672,810","17,808,644","26,085",9.39,"8,054","71,105",2,11.33,"33,953,370","250,940,214","11,541,551",13.53
2023,GA,"7,996,719","58,412,499","4,703,796",13.69,"5,497,964","51,404,671","609,978",10.7,"2,205,710","32,067,537","24,366",6.88,"10,512","144,124",1,7.29,"15,710,905","142,028,831","5,338,141",11.06
2023,HI,"1,141,701","2,693,161","446,203",42.39,"1,092,349","2,798,995","60,117",39.03,"1,211,791","3,435,096",813,35.28,0,0,0,0,"3,445,842","8,927,252","507,133",38.6
2023,IA,"1,940,409","14,581,845","1,436,037",13.31,"1,301,603","12,600,924","250,532",10.33,"1,880,378","27,217,490","9,451",6.91,0,0,0,0,"5,122,390","54,400,259","1,696,020",9.42
2023,ID,"1,082,537","9,793,265","845,896",11.05,"600,657","6,842,096","121,675",8.78,"648,094","9,038,616","29,322",7.17,0,0,0,0,"2,331,288","25,673,977","996,893",9.08
2023,IL,"6,804,072","43,319,747","5,394,659",15.71,"5,124,272","45,576,290","626,171",11.24,"3,384,830","41,267,424","5,541",8.2,"28,639","414,756",4,6.9,"15,341,812","130,578,217","6,026,375",11.75
